"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZFAND5",1.18457724665904e-34,1.11116553111368,0.521,0.377,4.33567118049676e-30,"Ast_ac","ZFAND5"
"TAB21",3.65476207273532e-53,1.08971443554094,0.563,0.457,1.33767946624185e-48,"Ast_ac","TAB2"
"NAV11",6.87257792618475e-77,1.08354042906445,0.796,0.579,2.51543224676288e-72,"Ast_ac","NAV1"
"TLR4",9.48524034768844e-34,1.06900429488531,0.491,0.358,3.47169281965744e-29,"Ast_ac","TLR4"
"GRIK41",2.58720031518284e-38,1.06860911729766,0.523,0.321,9.4694118736007e-34,"Ast_ac","GRIK4"
"AP002336.2",5.23377454900519e-23,1.06402798151929,0.409,0.265,1.91561382268139e-18,"Ast_ac","AP002336.2"
"DCLK2",1.16616807348609e-101,1.0509634138241,0.905,0.765,4.26829176576645e-97,"Ast_ac","DCLK2"
"JUND",1.71190572342433e-23,1.05052394782772,0.327,0.161,6.26574613830539e-19,"Ast_ac","JUND"
"MYBPC1",2.18075063073431e-23,1.05009698395608,0.406,0.273,7.98176538355065e-19,"Ast_ac","MYBPC1"
"AC006059.1",3.47615159781966e-16,1.03931097926063,0.333,0.205,1.27230624631798e-11,"Ast_ac","AC006059.1"
"AC002451.1",7.37130910467669e-15,1.03273727133802,0.276,0.162,2.69797284540271e-10,"Ast_ac","AC002451.1"
"SPOCK2",2.41729054744444e-15,1.02818031775131,0.286,0.166,8.8475251327014e-11,"Ast_ac","SPOCK2"
"SEMA6D",1.59453579365089e-24,1.0202946234592,0.44,0.307,5.83616045834164e-20,"Ast_ac","SEMA6D"
"MCF2L2",3.02448065015173e-29,1.0174266036534,0.529,0.377,1.10699016276204e-24,"Ast_ac","MCF2L2"
"LRRC8A",8.53960206138595e-15,1.00893363002138,0.296,0.189,3.12557975048787e-10,"Ast_ac","LRRC8A"
"DGKD",1.19166234368201e-17,1.0035458839391,0.323,0.209,4.36160334411053e-13,"Ast_ac","DGKD"
"ST8SIA11",4.45985082091707e-21,1.00332475025258,0.377,0.227,1.63234999896386e-16,"Ast_ac","ST8SIA1"
"AGT1",5.51458091201667e-26,1.0006357496234,0.475,0.294,2.01839175960722e-21,"Ast_ac","AGT"
"KCNJ3",5.3103317516555e-16,0.998421138674354,0.324,0.216,1.94363452442343e-11,"Ast_ac","KCNJ3"
"EEPD11",3.62461767139331e-17,0.992382766809555,0.328,0.203,1.32664631390666e-12,"Ast_ac","EEPD1"
"MAOB1",7.02338283335754e-17,0.989174188824684,0.334,0.257,2.57062835083719e-12,"Ast_ac","MAOB"
"SQSTM1",2.38687613033971e-12,0.983962921638502,0.282,0.199,8.73620532465639e-08,"Ast_ac","SQSTM1"
"PRMT2",1.74082270213296e-23,0.982111795642909,0.424,0.272,6.37158517207684e-19,"Ast_ac","PRMT2"
"ZNF10",2.82134819508363e-15,0.977707590747796,0.309,0.209,1.03264165288256e-10,"Ast_ac","ZNF10"
"KNOP1",1.23159429509344e-23,0.972540080934832,0.474,0.322,4.50775827947149e-19,"Ast_ac","KNOP1"
"KREMEN11",8.98609363230531e-21,0.962722964430062,0.391,0.268,3.28900013036007e-16,"Ast_ac","KREMEN1"
"ANTXR11",2.27989209983514e-34,0.953135680536831,0.547,0.399,8.34463307460659e-30,"Ast_ac","ANTXR1"
"BOC1",9.46485897493812e-25,0.945988688627696,0.484,0.315,3.4642330334171e-20,"Ast_ac","BOC"
"ANGPTL41",2.79270691447304e-08,0.945824485013559,0.264,0.189,0.00102215865776628,"Ast_ac","ANGPTL4"
"SEMA3A",2.01886228111784e-17,0.94378467601872,0.333,0.194,7.3892378351194e-13,"Ast_ac","SEMA3A"
"PBX3",4.37853774577089e-13,0.934540784019412,0.277,0.169,1.6025886003296e-08,"Ast_ac","PBX3"
"SPATA131",3.72562288715621e-26,0.933147808322722,0.487,0.345,1.36361523292804e-21,"Ast_ac","SPATA13"
"GASK1B",7.00982064938445e-11,0.919515333117114,0.251,0.179,2.5656644558812e-06,"Ast_ac","GASK1B"
